Difficulty,Question Type,Question,Options,Answer,Explanation
,,,(d) Reduces crop yield,,
Medium,Fill-in-the-blank,The process of reducing waste by avoiding unnecessary use of resources is called ______.,-,Reducing,Reducing minimizes waste by avoiding unnecessary consumption.
Medium,Match the Following,Match the conservation methods with their purposes.,1) Wildlife sanctuary → (a) Protects animals,"1 → (a), 2 → (b)","Sanctuaries protect wildlife, and afforestation restores forest cover."
,,,2) Afforestation → (b) Increases forest cover,,
Medium,MCQ,Which of the following is a consequence of deforestation?,(a) Increased biodiversity,(c) Climate change,Deforestation contributes to climate change by increasing carbon dioxide levels.
,,,(b) Reduced soil erosion,,
,,,(c) Climate change,,
,,,(d) Increased water retention,,
Medium,Fill-in-the-blank,The excessive use of fossil fuels leads to the emission of ______ gases.,-,Greenhouse,"Fossil fuels emit greenhouse gases like CO₂, contributing to global warming."
Medium,True/False,Renewable resources are always unlimited in supply.,TRUE,FALSE,Renewable resources can be depleted if overused or not managed sustainably.
,,,FALSE,,
Medium,MCQ,What is the primary purpose of sustainable development?,(a) Exploit resources,(b) Balance current and future needs,Sustainable development ensures resources are used responsibly to meet current and future demands.
,,,(b) Balance current and future needs,,
,,,(c) Ignore conservation,,
,,,(d) Promote pollution,,
Medium,Fill-in-the-blank,Managing resources to meet the needs of present and future generations is called ______ development.,-,Sustainable,Sustainable development ensures responsible resource use without compromising future generations.
Medium,True/False,Using cloth bags instead of plastic bags is an example of sustainable practice.,TRUE,TRUE,"Cloth bags are biodegradable and reduce plastic waste, making them sustainable alternatives."
,,,FALSE,,
Medium,MCQ,"What is the main aim of the ""3R’s"" principle?",(a) Waste reduction,(a) Waste reduction,"The 3R's—Reduce, Reuse, Recycle—aim to minimize waste and conserve resources."
,,,(b) Waste burning,,
,,,(c) Increased deforestation,,
,,,(d) Increased pollution,,
Hard,MCQ,What is the most effective way to conserve non-renewable resources like coal and petroleum?,(a) Increase usage,(b) Use alternative energy sources,Using renewable energy reduces dependency on non-renewable resources.
,,,(b) Use alternative energy sources,,
,,,(c) Reduce recycling,,
,,,(d) Avoid renewable energy,,
Hard,Fill-in-the-blank,The gradual depletion of groundwater due to overuse is called ______.,-,Groundwater exhaustion,Groundwater exhaustion occurs when excessive withdrawal exceeds recharge rates.
Hard,True/False,Deforestation contributes to an increase in atmospheric carbon dioxide levels.,TRUE,TRUE,"Cutting down trees reduces carbon absorption, increasing atmospheric CO₂."
,,,FALSE,,
Hard,MCQ,Which of the following practices contributes most to sustainable agriculture?,(a) Mono-cropping,(b) Crop rotation,Crop rotation maintains soil fertility and reduces the need for chemical fertilizers.
,,,(b) Crop rotation,,
,,,(c) Overgrazing,,
,,,(d) Slash-and-burn,,
Hard,Fill-in-the-blank,The use of ______ bags can minimize the environmental impact of non-biodegradable waste.,-,Cloth,"Cloth bags are eco-friendly and biodegradable, unlike plastic bags."
Hard,Match the Following,Match the conservation practices with their goals.,1) Rainwater harvesting → (a) Water conservation,"1 → (a), 2 → (b)","Rainwater harvesting conserves water, and afforestation increases forest cover."
,,,2) Afforestation → (b) Restore forests,,
Hard,MCQ,Which human activity causes desertification?,(a) Terrace farming,(b) Overgrazing,"Overgrazing by livestock reduces vegetation cover, leading to soil erosion and desertification."
,,,(b) Overgrazing,,
,,,(c) Composting,,
,,,(d) Drip irrigation,,
Hard,Fill-in-the-blank,The excessive growth of algae due to nutrient pollution in water bodies is called ______.,-,Eutrophication,"Eutrophication occurs when nutrient runoff leads to algal blooms, depleting oxygen in water."
Hard,True/False,Sustainable energy sources like wind and solar are limited in availability.,TRUE,FALSE,Renewable energy sources are abundant and replenished naturally.
,,,FALSE,,
Hard,MCQ,What is the primary cause of groundwater depletion in urban areas?,(a) Industrialization,(c) Overuse and lack of recharge,Overextraction and insufficient rainwater harvesting cause groundwater depletion.
,,,(b) Rainwater harvesting,,
,,,(c) Overuse and lack of recharge,,
,,,(d) Composting,,
Hard,Fill-in-the-blank,The use of microorganisms to clean up polluted environments is called ______.,-,Bioremediation,Bioremediation uses microbes to degrade pollutants and restore environmental health.
Hard,Match the Following,Match the environmental issues with their causes.,1) Global warming → (a) Greenhouse gases,"1 → (a), 2 → (b)","Global warming is caused by greenhouse gases, and soil erosion is caused by deforestation."
,,,2) Soil erosion → (b) Deforestation,,
Hard,MCQ,What is the most effective method to prevent soil erosion on hilly slopes?,(a) Overgrazing,(b) Terrace farming,Terrace farming reduces water runoff and prevents soil erosion.
,,,(b) Terrace farming,,
,,,(c) Mono-cropping,,
,,,(d) Logging,,
Hard,Fill-in-the-blank,Non-renewable resources like coal and petroleum are formed over ______.,-,Millions of years,Non-renewable resources take millions of years to form from organic matter.
Hard,True/False,"The concept of ""sustainability"" focuses on balancing economic growth and environmental conservation.",TRUE,TRUE,Sustainability aims to balance development with the conservation of natural resources.
,,,FALSE,,
Hard,MCQ,Which of the following methods helps in conserving water in agriculture?,(a) Flood irrigation,(b) Drip irrigation,"Drip irrigation delivers water directly to the roots, reducing wastage."
,,,(b) Drip irrigation,,
,,,(c) Overwatering,,
,,,(d) Canal irrigation,,
Hard,Fill-in-the-blank,The use of energy-efficient appliances contributes to the reduction of ______ emissions.,-,Greenhouse,Energy-efficient appliances reduce electricity consumption and greenhouse gas emissions.
Hard,Match the Following,Match the types of pollution with their effects.,1) Water pollution → (a) Eutrophication,"1 → (a), 2 → (b)","Water pollution causes eutrophication, and air pollution contributes to acid rain."
,,,2) Air pollution → (b) Acid rain,,
Hard,MCQ,Which of the following is a major cause of habitat destruction?,(a) Composting,(b) Deforestation,"Deforestation removes natural habitats, threatening biodiversity."
,,,(b) Deforestation,,
,,,(c) Terrace farming,,
,,,(d) Rainwater harvesting,,
Hard,Fill-in-the-blank,The practice of growing trees along with agricultural crops is called ______.,-,Agroforestry,"Agroforestry integrates trees and crops, enhancing biodiversity and resource management."
Hard,True/False,Overextraction of groundwater can lead to a decline in water table levels.,TRUE,TRUE,"Excessive groundwater use lowers water tables, making water access difficult."
,,,FALSE,,
Hard,MCQ,What is the main aim of afforestation?,(a) Cut more trees,(b) Increase forest cover,"Afforestation restores green cover, conserving biodiversity and improving the environment."
,,,(b) Increase forest cover,,
,,,(c) Promote deforestation,,
,,,(d) Destroy biodiversity,,
Hard,Fill-in-the-blank,"The principle of ""3R’s"" in waste management focuses on Reduce, Reuse, and ______.",-,Recycle,Recycling minimizes waste by converting used materials into new products.
Hard,True/False,Forests play a key role in regulating the Earth’s temperature.,TRUE,TRUE,"Forests absorb CO₂ and release oxygen, playing a crucial role in climate regulation."
,,,FALSE,,
Hard,MCQ,What is the best way to manage biodegradable waste?,(a) Composting,(a) Composting,"Composting turns biodegradable waste into organic manure, reducing environmental pollution."
,,,(b) Burning,,
,,,(c) Landfilling,,
,,,(d) Incineration,,
