Difficulty,Question Type,Question,Options,Answer,Explanation
,,,(c) Capillaries,,
,,,(d) Lymph,,
Medium,Fill-in-the-blank,The waste product of photosynthesis is ______.,-,Oxygen,Oxygen is released as a by-product of photosynthesis.
Medium,True/False,The diaphragm plays a vital role in the process of breathing.,TRUE,TRUE,The diaphragm contracts and relaxes to facilitate inhalation and exhalation.
,,,FALSE,,
Medium,MCQ,Which vessels carry blood back to the heart?,(a) Arteries,(b) Veins,Veins carry deoxygenated blood back to the heart.
,,,(b) Veins,,
,,,(c) Capillaries,,
,,,(d) Aorta,,
Medium,Fill-in-the-blank,The opening and closing of stomata are controlled by ______ cells.,-,Guard cells,Guard cells regulate the size of the stomatal opening.
Medium,Diagram-Based,Label the parts of a nephron.,Glomerulus,"Glomerulus → filtration, Loop of Henle → reabsorption, Collecting duct → excretion",
,,,Loop of Henle,,
,,,Collecting duct,,
Medium,MCQ,What is the energy currency of cells?,(a) DNA,(b) ATP,ATP stores and provides energy for cellular activities.
,,,(b) ATP,,
,,,(c) RNA,,
,,,(d) Glucose,,
Medium,Fill-in-the-blank,The process of breaking down large fat molecules into smaller droplets is called ______.,-,Emulsification,"Emulsification, aided by bile, increases the efficiency of fat digestion."
Medium,True/False,Anaerobic respiration produces more energy than aerobic respiration.,TRUE,FALSE,Anaerobic respiration produces less energy compared to aerobic respiration.
,,,FALSE,,
Medium,MCQ,What are the finger-like projections in the small intestine that aid in absorption?,(a) Villi,(a) Villi,Villi increase the surface area for nutrient absorption.
,,,(b) Alveoli,,
,,,(c) Microtubules,,
,,,(d) Cilia,,
Medium,Fill-in-the-blank,The process of excretion in plants occurs through ______.,-,Stomata,Stomata release oxygen and water vapor during excretion.
Medium,True/False,The liver is the largest gland in the human body.,TRUE,TRUE,"The liver performs various functions, including bile production and detoxification."
,,,FALSE,,
Hard,MCQ,What is the source of oxygen released during photosynthesis?,(a) CO₂,(b) Water,Oxygen released in photosynthesis comes from the photolysis of water molecules.
,,,(b) Water,,
,,,(c) Glucose,,
,,,(d) ATP,,
Hard,Fill-in-the-blank,The movement of food through the esophagus by muscular contraction is called ______.,-,Peristalsis,Peristalsis is the wave-like contraction of muscles to move food.
Hard,True/False,"In plants, phloem can transport food both upward and downward.",TRUE,TRUE,Phloem transports food in both directions to meet the needs of the plant.
,,,FALSE,,
Hard,MCQ,Which compound is the final electron acceptor in aerobic respiration?,(a) Oxygen,(a) Oxygen,Oxygen acts as the final electron acceptor in the electron transport chain.
,,,(b) Glucose,,
,,,(c) NADH,,
,,,(d) Water,,
Hard,Fill-in-the-blank,The toxic nitrogenous waste product excreted by amphibians is ______.,-,Urea,"Amphibians excrete urea, which is less toxic than ammonia."
Hard,Match the Following,Match the parts of the nephron with their functions.,1) Glomerulus → (a) Filtration,"1 → (a), 2 → (b), 3 → (c)",Each part of the nephron has a specific role in filtering and excreting waste.
,,,2) Loop of Henle → (b) Water reabsorption,,
,,,3) Collecting duct → (c) Urine transport,,
Hard,Diagram-Based,Label the parts of a chloroplast involved in photosynthesis.,Thylakoid,"Thylakoid → light reactions, Stroma → dark reactions, Grana → stack of thylakoids",
,,,Stroma,,
,,,Grana,,
Hard,MCQ,Which process converts pyruvate into ethanol during anaerobic respiration in yeast?,(a) Glycolysis,(b) Fermentation,Fermentation in yeast produces ethanol and carbon dioxide.
,,,(b) Fermentation,,
,,,(c) Krebs cycle,,
,,,(d) Oxidation,,
Hard,Fill-in-the-blank,The veins have ______ to prevent the backflow of blood.,-,Valves,Valves ensure one-way blood flow in veins.
Hard,True/False,All arteries carry oxygenated blood.,TRUE,FALSE,The pulmonary artery carries deoxygenated blood from the heart to the lungs.
,,,FALSE,,
Hard,MCQ,What is the role of bicarbonate ions in the transport of carbon dioxide in blood?,(a) Buffering pH,(a) Buffering pH,Bicarbonate ions help maintain blood pH by buffering excess hydrogen ions.
,,,(b) Dissolving oxygen,,
,,,(c) Storing glucose,,
,,,(d) Absorbing calcium,,
Hard,Fill-in-the-blank,The splitting of glucose into two molecules of pyruvate during respiration is called ______.,-,Glycolysis,Glycolysis is the first step in both aerobic and anaerobic respiration.
Hard,Match the Following,Match the respiratory structures with the organisms.,1) Gills → (a) Fish,"1 → (a), 2 → (b), 3 → (c)",Different organisms have specialized structures for gas exchange.
,,,2) Trachea → (b) Insects,,
,,,3) Lungs → (c) Mammals,,
Hard,MCQ,Which hormone regulates the opening and closing of stomata in plants?,(a) Cytokinin,(b) Abscisic acid,Abscisic acid triggers the closure of stomata under stress conditions.
,,,(b) Abscisic acid,,
,,,(c) Auxin,,
,,,(d) Gibberellin,,
Hard,Fill-in-the-blank,The process by which water moves from higher to lower water potential in plants is called ______.,-,Osmosis,Osmosis drives the movement of water across semi-permeable membranes.
Hard,True/False,The left ventricle of the heart has thicker walls than the right ventricle.,TRUE,TRUE,"The left ventricle pumps blood to the entire body, requiring more force."
,,,FALSE,,
Hard,MCQ,Which pathway is common to both aerobic and anaerobic respiration?,(a) Glycolysis,(a) Glycolysis,Glycolysis occurs in both aerobic and anaerobic respiration.
,,,(b) Krebs cycle,,
,,,(c) Electron transport chain,,
,,,(d) Calvin cycle,,
Hard,Diagram-Based,Label the four chambers of the human heart.,Left atrium,"Left atrium → oxygenated blood from lungs, Right atrium → deoxygenated blood from body",
,,,Right atrium,,
,,,Left ventricle,,
,,,Right ventricle,,
Hard,MCQ,What happens to glucose in the absence of oxygen during cellular respiration?,(a) It is oxidized,(b) It is fermented,"In anaerobic conditions, glucose undergoes fermentation to produce energy."
,,,(b) It is fermented,,
,,,(c) It is stored,,
,,,(d) It forms ATP,,
Hard,Fill-in-the-blank,The transport of soluble products of photosynthesis is known as ______.,-,Translocation,"Translocation occurs in phloem, distributing sugars to various parts of the plant."
Hard,True/False,"In humans, the liver converts ammonia into urea.",TRUE,TRUE,"The liver detoxifies ammonia into urea, which is excreted by the kidneys."
,,,FALSE,,
Hard,MCQ,What is the function of lymph in the human body?,(a) Transport oxygen,(c) Absorb fat,Lymph absorbs fat from the intestine and plays a role in immunity.
,,,(b) Remove waste,,
,,,(c) Absorb fat,,
,,,(d) Produce hormones,,
Hard,Fill-in-the-blank,The dark reaction of photosynthesis occurs in the ______ of the chloroplast.,-,Stroma,"The dark reaction, or Calvin cycle, occurs in the stroma of the chloroplast."
Hard,True/False,The vena cava brings oxygenated blood to the heart.,TRUE,FALSE,The vena cava brings deoxygenated blood to the right atrium of the heart.
,,,FALSE,,
Hard,MCQ,What is the function of the epiglottis in the human body?,(a) Close the trachea,(a) Close the trachea,The epiglottis prevents food from entering the trachea during swallowing.
,,,(b) Aid digestion,,
,,,(c) Filter air,,
,,,(d) Regulate voice,,
