Difficulty,Question Type,Question,Options,Answer,Explanation
,,,2) Budding → (b) Hydra,,
Medium,MCQ,Which method of reproduction is used by potato plants?,(a) Spore formation,(b) Vegetative propagation,Potatoes reproduce through vegetative propagation using tubers.
,,,(b) Vegetative propagation,,
,,,(c) Budding,,
,,,(d) Binary fission,,
Medium,Fill-in-the-blank,"In humans, fertilization takes place in the ______.",-,Fallopian tubes,"Fertilization occurs in the fallopian tubes, where sperm meets the egg."
Medium,True/False,Cross-pollination occurs between flowers of the same plant only.,TRUE,FALSE,Cross-pollination occurs between flowers of different plants of the same species.
,,,FALSE,,
Medium,MCQ,Which type of pollination occurs with the help of wind?,(a) Entomophily,(c) Anemophily,Anemophily refers to wind-assisted pollination.
,,,(b) Hydrophily,,
,,,(c) Anemophily,,
,,,(d) Zoophily,,
Medium,Fill-in-the-blank,The transfer of male gametes to the female reproductive organ is called ______.,-,Pollination,Pollination allows fertilization by transferring pollen grains to the stigma.
Medium,Match the Following,Match the terms with their descriptions.,1) Zygote → (a) Fertilized egg,"1 → (a), 2 → (b)","The zygote is a fertilized egg, which develops into an embryo."
,,,2) Embryo → (b) Developing organism,,
Medium,MCQ,Which organism reproduces by binary fission?,(a) Hydra,(c) Amoeba,"Amoeba reproduces by binary fission, splitting into two daughter cells."
,,,(b) Yeast,,
,,,(c) Amoeba,,
,,,(d) Paramecium,,
Medium,Fill-in-the-blank,The outer protective covering of seeds is called the ______.,-,Seed coat,The seed coat protects the seed from damage and dehydration.
Medium,True/False,Asexual reproduction occurs without the involvement of gametes.,TRUE,TRUE,Asexual reproduction requires only one parent and does not involve gametes.
,,,FALSE,,
Medium,MCQ,Which part of the human male reproductive system stores sperm?,(a) Prostate,(c) Epididymis,The epididymis stores and matures sperm before ejaculation.
,,,(b) Testes,,
,,,(c) Epididymis,,
,,,(d) Urethra,,
Medium,Fill-in-the-blank,The fusion of gametes in sexual reproduction produces a single-celled ______.,-,Zygote,A zygote is formed after the fusion of male and female gametes.
Medium,Match the Following,Match the reproductive structures with their functions.,1) Testes → (a) Produce sperm,"1 → (a), 2 → (b)","Testes produce sperm, and ovaries produce eggs."
,,,2) Ovary → (b) Produce eggs,,
Medium,MCQ,Which type of reproduction occurs in yeast?,(a) Binary fission,(b) Budding,"Yeast reproduces by budding, where a small outgrowth forms a new organism."
,,,(b) Budding,,
,,,(c) Fragmentation,,
,,,(d) Grafting,,
Medium,Fill-in-the-blank,The male reproductive cell in humans is called a ______.,-,Sperm,The sperm is the male gamete in humans.
Medium,True/False,The process of grafting is used to produce plants with desired characteristics.,TRUE,TRUE,Grafting combines two plants to produce improved varieties.
,,,FALSE,,
Medium,MCQ,Which type of asexual reproduction occurs in fungi like Rhizopus?,(a) Fragmentation,(b) Spore formation,"Rhizopus reproduces by spore formation, producing spores in sporangia."
,,,(b) Spore formation,,
,,,(c) Budding,,
,,,(d) Binary fission,,
Medium,Fill-in-the-blank,Fertilization in flowering plants occurs in the ______.,-,Ovule,"Fertilization in plants occurs in the ovule, where the zygote is formed."
Medium,True/False,Parthenogenesis is a form of asexual reproduction where offspring develop from unfertilized eggs.,TRUE,TRUE,Parthenogenesis allows reproduction without fertilization in certain species.
,,,FALSE,,
Hard,MCQ,What happens to the zygote after fertilization in flowering plants?,(a) Develops into ovule,(b) Becomes a seed,"The zygote develops into the seed, which contains the embryo."
,,,(b) Becomes a seed,,
,,,(c) Forms fruit,,
,,,(d) Forms pollen,,
Hard,Fill-in-the-blank,______ is the process where the embryo attaches to the uterine wall in humans.,-,Implantation,Implantation ensures the embryo receives nutrients from the mother’s body.
Hard,True/False,Vegetative propagation produces genetically identical offspring.,TRUE,TRUE,Vegetative propagation results in clones as it involves mitotic cell division.
,,,FALSE,,
Hard,MCQ,Which hormone is responsible for the development of male secondary sexual characteristics?,(a) Estrogen,(b) Testosterone,Testosterone regulates male secondary sexual characteristics like facial hair and a deeper voice.
,,,(b) Testosterone,,
,,,(c) Progesterone,,
,,,(d) Luteinizing hormone,,
Hard,Fill-in-the-blank,Fertilization is internal in humans but ______ in external in frogs.,-,External,"In frogs, fertilization occurs outside the body in water."
Hard,Match the Following,Match the organisms with their modes of reproduction.,1) Hydra → (a) Budding,"1 → (a), 2 → (b), 3 → (c)","Hydra buds, bacteria divide, and Planaria regenerate from fragments."
,,,2) Bacteria → (b) Binary fission,,
,,,3) Planaria → (c) Regeneration,,
Hard,MCQ,Which type of reproduction results in offspring with variations?,(a) Asexual reproduction,(b) Sexual reproduction,Genetic recombination in sexual reproduction leads to variations.
,,,(b) Sexual reproduction,,
,,,(c) Binary fission,,
,,,(d) Fragmentation,,
Hard,Fill-in-the-blank,The organ in humans responsible for producing progesterone during pregnancy is the ______.,-,Placenta,The placenta secretes progesterone to maintain pregnancy.
Hard,True/False,Cross-pollination increases genetic diversity in plants.,TRUE,TRUE,Cross-pollination promotes genetic diversity by mixing genes from different plants.
,,,FALSE,,
Hard,MCQ,What is the role of the prostate gland in the male reproductive system?,(a) Store sperm,(b) Produce fluid for semen,The prostate produces fluid that nourishes and protects sperm.
,,,(b) Produce fluid for semen,,
,,,(c) Control hormone levels,,
,,,(d) Nourish eggs,,
Hard,Fill-in-the-blank,"______ is a form of asexual reproduction in which new plants grow from stems, roots, or leaves.",-,Vegetative propagation,Vegetative propagation uses plant parts to create new plants.
Hard,Match the Following,Match the reproductive hormones with their functions.,1) Estrogen → (a) Female secondary characteristics,"1 → (a), 2 → (b)",Estrogen controls female characteristics; testosterone controls male traits.
,,,2) Testosterone → (b) Male secondary characteristics,,
Hard,MCQ,Which organism reproduces by parthenogenesis?,(a) Hydra,(b) Honeybee,"Parthenogenesis occurs in honeybees, producing males from unfertilized eggs."
,,,(b) Honeybee,,
,,,(c) Amoeba,,
,,,(d) Bacteria,,
Hard,Fill-in-the-blank,The process of ______ ensures genetic recombination during sexual reproduction in meiosis.,-,Crossing over,Crossing over during meiosis exchanges genetic material between homologous chromosomes.
Hard,True/False,Fertilization and seed formation occur in all flowering plants.,TRUE,FALSE,Some flowering plants can produce seeds without fertilization (apomixis).
,,,FALSE,,
Hard,MCQ,What is the primary advantage of sexual reproduction?,(a) Produces clones,(c) Genetic variation,"Sexual reproduction ensures genetic variation, enhancing adaptability."
,,,(b) Rapid reproduction,,
,,,(c) Genetic variation,,
,,,(d) Reduced diversity,,
Hard,Fill-in-the-blank,The structure in plants that allows the male gamete to reach the ovule is called the ______.,-,Pollen tube,The pollen tube transports the male gamete to the ovule for fertilization.
Hard,Match the Following,Match the plant parts with their roles in reproduction.,1) Stigma → (a) Pollen reception,"1 → (a), 2 → (b)","The stigma captures pollen, and the ovule develops into a seed."
,,,2) Ovule → (b) Seed formation,,
Hard,MCQ,Which event occurs during fertilization in plants?,(a) Formation of pollen,(b) Fusion of gametes,Fertilization involves the fusion of male and female gametes to form a zygote.
,,,(b) Fusion of gametes,,
,,,(c) Seed dispersal,,
,,,(d) Growth of pollen tube,,
Hard,Fill-in-the-blank,The removal of male reproductive parts from a flower to prevent self-pollination is called ______.,-,Emasculation,Emasculation is used in controlled breeding experiments to ensure cross-pollination.
Hard,True/False,Gametes are diploid cells in humans.,TRUE,FALSE,"Gametes are haploid, containing half the number of chromosomes."
,,,FALSE,,
Hard,MCQ,In which type of fertilization are eggs and sperm released into the external environment?,(a) Internal fertilization,(b) External fertilization,External fertilization occurs outside the body in aquatic animals like fish and frogs.
,,,(b) External fertilization,,
,,,(c) Asexual reproduction,,
,,,(d) Budding,,
Hard,Fill-in-the-blank,______ is a mode of asexual reproduction where specialized cells form spores.,-,Sporulation,Sporulation involves producing spores for reproduction in fungi and some plants.
Hard,True/False,Internal fertilization provides better chances of survival for the offspring.,TRUE,TRUE,"Internal fertilization protects gametes and embryos, increasing survival rates."
,,,FALSE,,
